citekey,title,venue,Year
":17","Serverless Programming with Swift","Swift in the Cloud","2017"
":19","Automating Your AWS Workloads","AWS Certified Cloud Practitioner Study Guide","2019"
":19a","Domain 1: Design Resilient Architectures","AWS Certified Solutions Architect Practice Tests","2019"
":19b","Hello, Databases","AWS Certified Developer Official Study Guide","2019"
":19c","Refactor to Microservices","AWS Certified Developer Official Study Guide","2019"
":19d","Serverless Compute","AWS Certified Developer Official Study Guide","2019"
"adzic:17","Serverless Computing: Economic and Architectural Impact","Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering","2017"
"akkus:18","SAND: Towards High-Performance Serverless Computing","Proceedings of the 2018 USENIX Conference on Usenix Annual Technical Conference","2018"
"albalawi:19","MECANO: Integrated Measurement of Compute and Network Operations","2019 IEEE International Symposium on Measurements and Networking, M and N 2019 - Proceedings","2019"
"alipour:17","Online machine learning for cloud resource provisioning of microservice backend systems","2017 IEEE International Conference on Big Data (Big Data)","2017"
"andrade:19","Optimizing Cloud Caches For Free: A Case for Autonomic Systems with a Serverless Computing Approach","2019 IEEE 4th International Workshops on Foundations and Applications of Self* Systems (FAS*W)","2019"
"ao:18","Sprocket: A Serverless Video Processing Framework","Proceedings of the ACM Symposium on Cloud Computing","2018"
"asghar:18","Feasibility of Serverless Cloud Services for Disaster Management Information Systems","2018 IEEE 20th International Conference on High Performance Computing and Communications; IEEE 16th International Conference on Smart City; IEEE 4th International Conference on Data Science and Systems (HPCC/SmartCity/DSS)","2018"
"asif:19","Towards the performance investigation of automatic melanoma diagnosis applications","International Journal of Advanced Computer Science and Applications","2019"
"aske:18","Supporting Multi-Provider Serverless Computing on the Edge","Proceedings of the 47th International Conference on Parallel Processing Companion","2018"
"aumala:19","Beyond Load Balancing: Package-Aware Scheduling for Serverless Platforms","2019 19th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)","2019"
"aytekin:19","Exploiting Serverless Runtimes for Large-Scale Optimization","2019 IEEE 12th International Conference on Cloud Computing (CLOUD)","2019"
"back:18","Using a Microbenchmark to Compare Function as a Service Solutions","Service-Oriented and Cloud Computing","2018"
"bacou:19","Nested Virtualization Without the Nest","Proceedings of the 48th International Conference on Parallel Processing","2019"
"baldini:17","The Serverless Trilemma: Function Composition for Serverless Computing","Proceedings of the 2017 ACM SIGPLAN International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software","2017"
"bardsley:18","Serverless Performance and Optimization Strategies","2018 IEEE International Conference on Smart Cloud (SmartCloud)","2018"
"baresi:17","Empowering Low-Latency Applications Through a Serverless Edge Computing Architecture","Service-Oriented and Cloud Computing","2017"
"baresi:19","Towards a Serverless Platform for Edge Computing","2019 IEEE International Conference on Fog Computing (ICFC)","2019"
"bhardwaj:19","Addressing the Fragmentation Problem in Distributed and Decentralized Edge Computing: A Vision","2019 IEEE International Conference on Cloud Engineering (IC2E)","2019"
"bhattacharjee:19","BARISTA: Efficient and Scalable Serverless Serving System for Deep Learning Prediction Services","2019 IEEE International Conference on Cloud Engineering (IC2E)","2019"
"bortolini:20","Investigating Performance and Cost in Function-as-a-Service Platforms","Advances on P2P, Parallel, Grid, Cloud and Internet Computing","2020"
"boucher:18","Putting the ``Micro'' Back in Microservice","Proceedings of the 2018 USENIX Conference on Usenix Annual Technical Conference","2018"
"brogi:18","A microservice-based architecture for (customisable) analyses of Docker images","Software: Practice and Experience","2018"
"bushouse:18","Furnace: Self-service Tenant VMI for the Cloud","Research in Attacks, Intrusions, and Defenses","2018"
"chang:17","Visualizing serverless cloud application logs for program understanding","2017 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)","2017"
"chemodanov:19","Policy-Based Function-Centric Computation Offloading for Real-Time Drone Video Analytics","2019 IEEE International Symposium on Local and Metropolitan Area Networks (LANMAN)","2019"
"cheng:18","Autonomous Resource Scheduling for Real-Time and Stream Processing","2018 IEEE SmartWorld, Ubiquitous Intelligence Computing, Advanced Trusted Computing, Scalable Computing Communications, Cloud Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)","2018"
"christoforou:19","An effective resource management approach in a FaaS environment","CEUR Workshop Proceedings","2019"
"cicconetti:18","An Architectural Framework for Serverless Edge Computing: Design and Emulation Tools","2018 IEEE International Conference on Cloud Computing Technology and Science (CloudCom)","2018"
"cicconetti:19","Low-latency Distributed Computation Offloading for Pervasive Environments","2019 IEEE International Conference on Pervasive Computing and Communications (PerCom","2019"
"corner:18","MicroMobile: Leveraging Mobile Advertising for Large-Scale Experimentation","Proceedings of the 16th Annual International Conference on Mobile Systems, Applications, and Services","2018"
"crane:17","An Exploration of Serverless Architectures for Information Retrieval","Proceedings of the ACM SIGIR International Conference on Theory of Information Retrieval","2017"
"crespo-cepeda:19","Challenges and Opportunities of Amazon Serverless Lambda Services in Bioinformatics","Proceedings of the 10th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics","2019"
"das:18","EdgeBench: Benchmarking Edge Computing Platforms","2018 IEEE/ACM International Conference on Utility and Cloud Computing Companion (UCC Companion)","2018"
